From_NL,Imbalance_Costs,Tennet_Bill,Cumulative_Imbalance
20/12/2023 00:00,391.16272,511.37502,391.16272
20/12/2023 00:15,56.7386,125.86935,447.90132
20/12/2023 00:30,6.0345,31.89345,453.93582
20/12/2023 00:45,-3.0645,-16.19645,450.87131999999997
20/12/2023 01:00,49.9845,121.1613,500.85582
20/12/2023 01:15,36.10548,81.9918,536.9612999999999
20/12/2023 01:30,10.33065,35.31825,547.2919499999999
20/12/2023 01:45,0.70958,2.4259,548.0015299999999
20/12/2023 02:00,14.66128,47.68528,562.6628099999999
20/12/2023 02:15,6.1177,18.6937,568.7805099999999
20/12/2023 02:30,-10.361,-25.961,558.41951
20/12/2023 02:45,44.64313,8.01913,603.06264
20/12/2023 03:00,5.35976,10.11738,608.4224
20/12/2023 03:15,6.33674,14.4127,614.75914
20/12/2023 03:30,-0.3137,-0.7135,614.44544
20/12/2023 03:45,-8.62675,-19.62125,605.81869
20/12/2023 04:00,-3.13657,-5.7519,602.6821199999999
20/12/2023 04:15,6.29472,11.2733,608.9768399999999
20/12/2023 04:30,-3.46608,-6.20745,605.5107599999999
20/12/2023 04:45,9.40224,16.8386,614.9129999999999
20/12/2023 05:00,-48.92142,-111.23465,565.9915799999999
20/12/2023 05:15,-25.44918,-57.86485,540.5423999999999
20/12/2023 05:30,17.07588,30.1061,557.6182799999999
20/12/2023 05:45,80.67675,157.619,638.2950299999999
20/12/2023 06:00,-142.81704,-335.14452,495.47798999999986
20/12/2023 06:15,-62.26353,-132.0039,433.21445999999986
20/12/2023 06:30,51.99975,91.707,485.21420999999987
20/12/2023 06:45,134.7318,306.5559,619.9460099999999
20/12/2023 07:00,651.63776,134.8908,1271.5837699999997
20/12/2023 07:15,-7.71008,-247.03234,1263.8736899999997
20/12/2023 07:30,0.38522,79.16271,1264.2589099999996
20/12/2023 07:45,1.81356,372.68658,1266.0724699999996
20/12/2023 08:00,62.4658,-369.03211,1328.5382699999996
20/12/2023 08:15,9.8175,-161.84,1338.3557699999997
20/12/2023 08:30,-7.38192,25.57632,1330.9738499999996
20/12/2023 08:45,-31.0806,105.75495,1299.8932499999996
20/12/2023 09:00,53.54009,90.91799,1353.4333399999996
20/12/2023 09:15,-22.96668,-111.00288,1330.4666599999996
20/12/2023 09:30,32.1154,-188.5106,1362.5820599999995
20/12/2023 09:45,93.9136,-221.3888,1456.4956599999996
20/12/2023 10:00,15.63056,-147.00944,1472.1262199999996
20/12/2023 10:15,26.99487,-149.99013,1499.1210899999996
20/12/2023 10:30,19.95818,-187.71182,1519.0792699999997
20/12/2023 10:45,158.94606,-226.94394,1678.0253299999997
20/12/2023 11:00,335.8944,-40.7456,2013.9197299999996
20/12/2023 11:15,74.04,-453.96,2087.9597299999996
20/12/2023 11:30,-25.73883,-671.04283,2062.2209
20/12/2023 11:45,1063.81602,335.96802,3126.0369199999996
20/12/2023 12:00,-269.33409,-887.95647,2856.7028299999997
20/12/2023 12:15,-264.92647,-960.86833,2591.77636
20/12/2023 12:30,-912.22242,-1728.40206,1679.5539399999998
20/12/2023 12:45,-2361.24576,-3146.95008,-681.69182
20/12/2023 13:00,-400.89967,-1060.75097,-1082.59149
20/12/2023 13:15,-42.74373,-551.45943,-1125.33522
20/12/2023 13:30,331.5735,-94.284,-793.76172
20/12/2023 13:45,275.3361,-43.2684,-518.42562
20/12/2023 14:00,1600.06779,1035.02217,1081.64217
20/12/2023 14:15,400.90812,-90.45056,1482.5502900000001
20/12/2023 14:30,1813.89176,1292.26579,3296.44205
20/12/2023 14:45,2027.35666,1533.21575,5323.79871
20/12/2023 15:00,238.76377,-383.43581,5562.56248
20/12/2023 15:15,203.09341,-248.30273,5765.65589
20/12/2023 15:30,186.2217,-54.4806,5951.87759
20/12/2023 15:45,57.85577,-92.91181,6009.73336
20/12/2023 16:00,-5.06945,20.90055,6004.66391
20/12/2023 16:15,13.8396,-45.6464,6018.5035100000005
20/12/2023 16:30,53.69592,-137.79608,6072.199430000001
20/12/2023 16:45,72.0708,-237.7072,6144.270230000001
20/12/2023 17:00,90.3238,186.37186,6234.594030000001
20/12/2023 17:15,14.15969,-56.93362,6248.7537200000015
20/12/2023 17:30,152.2657,-152.29316,6401.019420000001
20/12/2023 17:45,564.188,42.911,6965.207420000002
20/12/2023 18:00,17.004,-45.90144,6982.211420000001
20/12/2023 18:15,77.75432,-164.99616,7059.9657400000015
20/12/2023 18:30,166.32294,-206.77487,7226.2886800000015
20/12/2023 18:45,231.441,-287.7305,7457.729680000001
20/12/2023 19:00,-118.881,-326.47986,7338.848680000001
20/12/2023 19:15,20.80067,-236.84991,7359.649350000001
20/12/2023 19:30,443.00676,80.17632,7802.656110000001
20/12/2023 19:45,456.27036,-18.77568,8258.92647
20/12/2023 20:00,166.42872,76.72629,8425.35519
20/12/2023 20:15,51.20621,-117.97148,8476.5614
20/12/2023 20:30,86.74573,-199.84924,8563.307130000001
20/12/2023 20:45,125.38078,-288.85864,8688.68791
20/12/2023 21:00,67.3,22.29649,8755.98791
20/12/2023 21:15,25.36963,-111.11204,8781.357539999999
20/12/2023 21:30,257.922,27.2205,9039.27954
20/12/2023 21:45,509.45846,184.604,9548.738
20/12/2023 22:00,196.89964,93.95972,9745.637639999999
20/12/2023 22:15,15.85158,-123.63324,9761.48922
20/12/2023 22:30,335.74134,128.326,10097.23056
20/12/2023 22:45,427.30716,163.324,10524.53772
20/12/2023 23:00,-37.58986,-90.3364,10486.94786
20/12/2023 23:15,40.39662,-64.02,10527.34448
20/12/2023 23:30,-14.14664,-166.61252,10513.197839999999
20/12/2023 23:45,9.52176,-177.58656,10522.719599999999
